dataset,method,train_size,seed,status,method_success,effective_generator,tstr_f1,tstr_balanced_accuracy,tstr_roc_auc,real_train_f1,majority_baseline_f1,tstr_f1_gap_to_real_train,tstr_f1_relative_to_real_train,distribution_distance_mean,numeric_fidelity_distance,categorical_fidelity_distance,target_distribution_distance,target_conditioned_distribution_distance,feature_target_mean_dependency_distance,constraint_violation_rate,duplicate_rate,exact_train_duplicate_rate,primary_generator_rows,fallback_rows,fallback_fraction,repair_fraction,primary_only_rows,primary_only_tstr_f1,primary_only_distribution_distance_mean,ctgan_epochs_used,runtime_seconds
pima,ctgan_strong,100,2025,success,True,ctgan_strong,0.358974358974359,0.48444444444444446,0.4892592592592593,0.4946236559139785,0.0,0.13564929693961952,0.725752508361204,0.1809979486907116,0.2725,,0.088,0.31574802738333185,0.07431664086031277,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.170846939086914
pima,direct_icl,100,2025,success,True,llm_direct_rows,0.5054945054945055,0.642962962962963,0.7068518518518518,0.4946236559139785,0.0,-0.010870849580526976,1.021978021978022,0.1582350208508966,0.22699999999999998,,0.126,0.24395249732306312,0.058173101133872876,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.5054945054945055,0.1582350208508966,,488.91156911849976
pima,code_llm,100,2025,success,True,llm_generated_code,0.0,0.5,0.45092592592592595,0.4946236559139785,0.0,0.4946236559139785,0.0,0.1078267629266536,0.1335,,0.006000000000000005,0.19821946700491794,0.0382772218845934,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.536756992340088
pima,fallback_only,100,2025,success,True,schema_independent_fallback,0.5106382978723404,0.6422222222222222,0.7511111111111112,0.4946236559139785,0.0,-0.016014641958361886,1.032377428307123,0.10089061264134418,0.11624999999999999,,0.015999999999999986,0.13847887088905053,0.015010541850589865,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.197328805923462
pima,ctgan,500,42,success,True,ctgan,0.3170731707317073,0.5453703703703704,0.49870370370370365,0.5052631578947369,0.0,0.18818998716302954,0.6275406504065041,0.21795068567378592,0.37,,0.11400000000000002,0.39631234433612983,0.11897091904122459,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.42323112487793
pima,ctgan_strong,500,42,success,True,ctgan_strong,0.4943820224719101,0.5074074074074074,0.5166666666666667,0.5052631578947369,0.0,0.01088113542282676,0.9784644194756553,0.16871709505511742,0.25275,,0.11600000000000002,0.28661507224823624,0.08652690089360292,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.724393844604492
pima,direct_icl,500,42,success,True,llm_direct_rows,0.4888888888888889,0.6337037037037037,0.7401851851851852,0.5052631578947369,0.0,0.016374269005847986,0.9675925925925926,0.15119344997423756,0.243,,0.11200000000000002,0.26076602334483745,0.061762760207700114,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.4888888888888889,0.15119344997423756,,487.8433401584625
pima,code_llm,500,42,success,True,llm_generated_code,0.03636363636363636,0.5092592592592593,0.41481481481481486,0.5052631578947369,0.0,0.4688995215311005,0.07196969696969696,0.09806637714762934,0.1205,,0.01999999999999999,0.1838119874472567,0.03701206946634845,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.62706470489502
pima,fallback_only,500,42,success,True,schema_independent_fallback,0.5,0.637962962962963,0.7527777777777777,0.5052631578947369,0.0,0.0052631578947368585,0.9895833333333333,0.09864984578354254,0.11324999999999999,,0.03599999999999995,0.12610135924456858,0.010912755973127714,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.320432186126709
pima,ctgan,500,123,success,True,ctgan,0.0967741935483871,0.5027777777777778,0.42055555555555557,0.48936170212765956,0.0,0.3925875085792725,0.19775596072931276,0.18336954279750597,0.28300000000000003,,0.11200000000000002,0.3220198672817647,0.06911929245759987,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.368926048278809
pima,ctgan_strong,500,123,success,True,ctgan_strong,0.5045045045045045,0.6142592592592593,0.6559259259259259,0.48936170212765956,0.0,-0.0151428023768449,1.0309439874657265,0.14709637844416,0.1685,,0.122,0.2149502738099171,0.04475410349799714,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.533421039581299
pima,direct_icl,500,123,success,True,llm_direct_rows,0.49504950495049505,0.6214814814814815,0.6835185185185185,0.48936170212765956,0.0,-0.005687802822835486,1.0116229014205769,0.13086165579470144,0.21025000000000002,,0.092,0.24080128363632702,0.0541148185893092,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.49504950495049505,0.13086165579470144,,497.2697160243988
pima,code_llm,500,123,success,True,llm_generated_code,0.13333333333333333,0.527037037037037,0.644814814814815,0.48936170212765956,0.0,0.3560283687943262,0.27246376811594203,0.09414698255315933,0.1295,,0.0,0.18205477399337144,0.03706574772941358,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.687839984893799
pima,fallback_only,500,123,success,True,schema_independent_fallback,0.5,0.637962962962963,0.7585185185185186,0.48936170212765956,0.0,-0.010638297872340441,1.0217391304347827,0.09361601561653776,0.11925000000000001,,0.006000000000000005,0.134440769836579,0.016019669186853665,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.2023398876190186
pima,ctgan,500,2025,success,True,ctgan,0.4305555555555556,0.49203703703703705,0.5327777777777778,0.5052631578947369,0.0,0.07470760233918128,0.8521412037037037,0.21452232172872698,0.33375,,0.138,0.37877400155045016,0.09874546603465567,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.4066197872161865
pima,ctgan_strong,500,2025,success,True,ctgan_strong,0.14492753623188406,0.4962962962962963,0.41055555555555556,0.5052631578947369,0.0,0.3603356216628528,0.28683574879227053,0.18120212515172318,0.26875000000000004,,0.12000000000000002,0.3034877798323792,0.06890522922838355,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.667834997177124
pima,direct_icl,500,2025,success,True,llm_direct_rows,0.5,0.6494444444444445,0.7318518518518518,0.5052631578947369,0.0,0.0052631578947368585,0.9895833333333333,0.1270510555431882,0.21575,,0.07600000000000004,0.2446986281693239,0.06363289100137284,0.0,0.0,0.0,488,12,0.024,0.024,488.0,0.4578313253012048,0.12993709631508812,,491.04543900489807
pima,code_llm,500,2025,success,True,llm_generated_code,0.0,0.5,0.4455555555555556,0.5052631578947369,0.0,0.5052631578947369,0.0,0.1019085219923523,0.125,,0.009999999999999981,0.1865095084427514,0.03866082684781637,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.76938772201538
pima,fallback_only,500,2025,success,True,schema_independent_fallback,0.47191011235955055,0.6244444444444445,0.7485185185185186,0.5052631578947369,0.0,0.03335304553518631,0.9339887640449438,0.09523054933011323,0.11574999999999999,,0.01999999999999999,0.130885546735928,0.014059682948062653,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.205315113067627
